"List of employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream,  National Occupational Classification (NOC) 2011 and business location in 2017 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
,,IMP Group Limited,"Amherst, NS B4H 4J6","2244-Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",1
,,Infi Systems Ltd.,"Halifax, NS B3J 3N2",2171-Information systems analysts and consultants,1
,,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
,,,,0113-Purchasing managers,1
,,,,0711-Construction managers,1
,,,,0911-Manufacturing managers,8
,,,,1122-Professional occupations in business management consulting,1
,,,,2133-Electrical and electronics engineers,1
,,Masontech Inc,"Halifax, NS B3K 3T6",7281-Bricklayers,2
,,Orienteering Association of Nova Scotia,"Halifax, NS B3J 1G6",2255-Technical occupations in geomatics and meteorology,1
,,Perez Cleaning Services,"Elmsdale, NS B2S 0A1",6315-Cleaning supervisors,1
,,Spectrum Hospitality Canada Inc.,"Halifax, NS B3J 2V1",0631-Restaurant and food service managers,13
,,,,1226-Conference and event planners,2
,,,,6321-Chefs,7
,,,,6322-Cooks,4
,   Low Wage,3261369 Nova Scotia Ltd.,"Bridgewater, NS B4V 2V6",6322-Cooks,1
,,9140271 Canada Inc.,"North Sydney, NS B2A 1N6",6311-Food service supervisors,1
,,9902937 Canada Inc.,"Halifax, NS B3L 1K3",6731-Light duty cleaners,3
,,Ace Upholstery Limited,"Halifax, NS B3T 1P4",6345-Upholsterers,1
,,B&G Innkeepers Ltd.,"Halifax, NS B3K 2R9",6322-Cooks,1
,,Carlo's Barber Shop Limited,"Bedford, NS B4A 3Y4",6341-Hairstylists and barbers,1
,,Chow Family Restaurant,"Truro, NS B2N 1E2",6322-Cooks,1
,,D.B. Kenney Fisheries (2014) Ltd.,"Westport, NS B0V 1H0",9463-Fish and seafood plant workers,2
,,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,2
,,Doraku Foods Limited,"Halifax, NS B3J 4A2",6322-Cooks,1
,,Fresh Casual Restaurants Inc. Charlottetown o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cooks,2
,,Fresh Casual Restaurants Inc. Dieppe,"Amherst, NS B4H 4L2",6322-Cooks,3
,,J.P.F.K Cuisine LTD,"Dartmouth, NS B3A 4N3",6322-Cooks,1
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cooks,1
,,Ranex Cuisine Limited,"Dartmouth, NS B2X 0A2",6322-Cooks,2
,,Rosa Cleaning Services Inc.,"Fall River, NS B2T 1N3","6733-Janitors, caretakers and building superintendents",3
,,The South Shore Fish Shack Ltd.,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,1
,,Two Brothers Moving,"Timberlea, NS B3T 1G4",7511-Transport truck drivers,1
,,W.J.Allen & Sons Inc. o/a Aulac Big Stop Restaurant,"Amherst, NS B4H 4L2",6322-Cooks,2
,,WASABI HOUSE RESTAURANT LTD,"Halifax, NS B3L 1A7",6322-Cooks,1
,  Primary Agriculture,3226198 Nova Scotia Ltd/Vital Berry Farms,"Centreville, NS B0P 1J0",8431-General farm workers,85
,,,,8611-Harvesting labourers,36
,,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8431-General farm workers,14
,,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",8611-Harvesting labourers,4
,,Black Avon Farms Ltd.,"Antigonish, NS B0H 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-General farm workers,4
,,Bolivar Farms Ltd,"Baker Settlement, NS B4V 7J3",8432-Nursery and greenhouse workers,3
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,24
,,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,30
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,32
,,Den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Nursery and greenhouse workers,4
,,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,16
,,G.A.R. Tree Farms Ltd.,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,18
,,J & M Reeves Christmas Greens Ltd,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,4
,,J W Mason & Sons (2013) Limited,"Windsor, NS B0N 2T0",8611-Harvesting labourers,5
,,Lutz Family Farm Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,2
,,Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,8
,,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,16
,,Perfect Berries Ltd,"Berwick, NS B0P 1E0",8431-General farm workers,5
